Publisher,Date,UPC,UPCextra,VariantName,Variant frequency,Series,Story,Issue,Condition,Paid,Purchased,Value,Valuation date,Writer,Illustrator
Marvel,2019-03-20,75960608113,6311,None,,Star Wars,The Scourging of Shu-Torun (6 part),63,9.8,2.8,2019-03-20,2.8,2019-03-20,Gillen,Unzueta
Marvel,2019-03-27,759606086290,3011,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),30,9.8,2.8,2019-03-27,2.8,2019-03-27,Spurrier,Laiso
Marvel,2019-03-27,759606094004,211,None,,Star Wars: Vader – Dark Visions,Dark Visions (5 part),2,9.8,2.8,2019-03-27,2.8,2019-06-14,Hopeless,Level
Marvel,2019-04-03,75960608113,6411,None,,Star Wars,The Scourging of Shu-Torun (6 part),64,9.8,2.8,2019-04-03,2.8,2019-04-03,Gillen,Unzueta
Marvel,2019-04-10,759606091898,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Princess Leia 1,9.8,2.8,2019-04-10,2.8,2019-06-14,Pak,Sprouse; Story
Marvel,2019-04-10,759606091904,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Grand Moff Tarkin 1,9.8,2.8,2019-04-10,2.8,2019-06-14,Pak,Laming
Marvel,2019-04-17,759606093977,111,None,,Star Wars: Tie Fighter,The Shadow Falls (5 part),1,9.8,2.8,2019-04-17,2.8,2019-06-14,Houser,Antonio
Marvel,2019-04-24,759606086290,3111,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),31,9.8,2.8,2019-04-24,2.8,2019-04-24,Spurrier,Laiso; Broccardo
Marvel,2019-04-24,759606093557,111,None,,Star Wars: Galaxy’s Edge,Star Wars: Galaxy’s Edge (5 part),1,9.8,2.8,2019-04-24,2.8,2019-04-24,Sacks,Sliney
Marvel,2019-04-24,759606094004,311,None,,Star Wars: Vader – Dark Visions,Dark Visions (5 part),3,9.8,2.8,2019-04-24,2.8,2019-06-14,Hopeless,Lopez; Pina
Marvel,2019-04-27,759606091911,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Age of Rebellion Special 1,9.8,3.5,2019-04-27,3.5,2019-06-14,Adams; Guggenheim; Spurrier,Adams; Broccardo; Wjingaard
Marvel,2019-05-01,75960608113,6511,None,,Star Wars,The Scourging of Shu-Torun (6 part),65,9.8,2.8,2019-05-01,2.8,2019-05-01,Gillen,Unzueta
Marvel,2019-05-01,759606091850,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Han Solo 1,9.8,2.8,2019-05-01,2.8,2019-06-14,Pak,Sprouse
Marvel,2019-05-08,759606091836,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Boba Fett 1,9.8,2.8,2019-05-08,2.8,2019-06-14,Pak,Laming
Marvel,2019-05-08,759606096428,111,Halloween ComicFest,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Boba Fett 1,9.8,0,2019-05-08,2.2,2019-06-14,Pak,Laming
Marvel,2019-05-15,75960608113,6611,None,,Star Wars,The Scourging of Shu-Torun (6 part),66,9.8,2.8,2019-05-15,2.8,2019-05-15,Gillen,Unzueta
Marvel,2019-05-15,759606091874,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Lando Calrissian 1,9.8,2.8,2019-05-15,2.8,2019-06-14,Pak,Buffagni
Marvel,2019-05-15,759606093977,211,None,,Star Wars: Tie Fighter,The Shadow Falls (5 part),2,9.8,2.8,2019-05-15,2.8,2019-05-15,Houser,Antonio; Cassara
Marvel,2019-05-22,759606091867,111,None,,Star Wars: Age of Rebellion,Age of Rebellion (8 part),Jabba the Hutt 1,9.8,2.8,2019-05-22,2.8,2019-06-14,Pak,Laiso; Boschi; Turini
